step,agent_id,total_reward,epsilon,is_busy
116,Transporter-1,-56,1.0,1
116,Transporter-2,-65,1.0,1
117,Transporter-1,-57,1.0,1
117,Transporter-2,-66,1.0,1
118,Transporter-1,-58,1.0,1
118,Transporter-2,-67,1.0,1
119,Transporter-1,-59,1.0,1
119,Transporter-2,-68,1.0,1
120,Transporter-1,-60,1.0,1
120,Transporter-2,-69,1.0,1
121,Transporter-1,-61,1.0,1
121,Transporter-2,-70,1.0,1
122,Transporter-1,-62,1.0,1
122,Transporter-2,-71,1.0,1
123,Transporter-1,-63,1.0,1
123,Transporter-2,-72,1.0,1
124,Transporter-1,-64,1.0,1
124,Transporter-2,-73,1.0,1
125,Transporter-1,-65,1.0,1
125,Transporter-2,-74,1.0,1
126,Transporter-1,-66,1.0,1
126,Transporter-2,-75,1.0,1
127,Transporter-1,-67,1.0,1
127,Transporter-2,-76,1.0,1
128,Transporter-1,-68,1.0,1
128,Transporter-2,-77,1.0,1
129,Transporter-1,-69,1.0,1
129,Transporter-2,-78,1.0,1
130,Transporter-1,-70,1.0,1
130,Transporter-2,-79,1.0,1
131,Transporter-1,-71,1.0,1
131,Transporter-2,-80,1.0,1
132,Transporter-1,-72,1.0,1
132,Transporter-2,-81,1.0,1
133,Transporter-1,-73,1.0,1
133,Transporter-2,-82,1.0,1
134,Transporter-1,-74,1.0,1
134,Transporter-2,-83,1.0,1
135,Transporter-1,-75,1.0,1
135,Transporter-2,-84,1.0,1
136,Transporter-1,-76,1.0,1
136,Transporter-2,-85,1.0,1
137,Transporter-1,-77,1.0,1
137,Transporter-2,-86,1.0,1
138,Transporter-1,-78,1.0,1
138,Transporter-2,-87,1.0,1
139,Transporter-1,-79,1.0,1
139,Transporter-2,-88,1.0,1
140,Transporter-1,-80,1.0,1
140,Transporter-2,-89,1.0,1
141,Transporter-1,-81,1.0,1
141,Transporter-2,-90,1.0,1
142,Transporter-1,-82,1.0,1
142,Transporter-2,-91,1.0,1
143,Transporter-1,-83,1.0,1
143,Transporter-2,-92,1.0,1
144,Transporter-1,-84,1.0,1
144,Transporter-2,-93,1.0,1
145,Transporter-1,-85,1.0,1
145,Transporter-2,-94,1.0,1
146,Transporter-1,-86,1.0,1
146,Transporter-2,-95,1.0,1
147,Transporter-1,-87,1.0,1
147,Transporter-2,-96,1.0,1
148,Transporter-1,-88,1.0,1
148,Transporter-2,-97,1.0,1
149,Transporter-1,-89,1.0,1
149,Transporter-2,-98,1.0,1
150,Transporter-1,-90,1.0,1
150,Transporter-2,-99,1.0,1
151,Transporter-1,-91,1.0,1
151,Transporter-2,-100,1.0,1
152,Transporter-1,-92,1.0,1
152,Transporter-2,-101,1.0,1
153,Transporter-1,-93,1.0,1
153,Transporter-2,-102,1.0,1
154,Transporter-1,-94,1.0,1
154,Transporter-2,-103,1.0,1
155,Transporter-1,-95,1.0,1
155,Transporter-2,-104,1.0,1
156,Transporter-1,-96,1.0,1
156,Transporter-2,-105,1.0,1
157,Transporter-1,-97,1.0,1
157,Transporter-2,-106,1.0,1
158,Transporter-1,-98,1.0,1
158,Transporter-2,-107,1.0,1
159,Transporter-1,-99,1.0,1
159,Transporter-2,-108,1.0,1
160,Transporter-1,-100,1.0,1
160,Transporter-2,-109,1.0,1
161,Transporter-1,-101,1.0,1
161,Transporter-2,-110,1.0,1
162,Transporter-1,-102,1.0,1
162,Transporter-2,-111,1.0,1
163,Transporter-1,-103,1.0,1
163,Transporter-2,-112,1.0,1
164,Transporter-1,-104,1.0,1
164,Transporter-2,-113,1.0,1
165,Transporter-1,-105,1.0,1
165,Transporter-2,-114,1.0,1
166,Transporter-1,-106,1.0,1
166,Transporter-2,-115,1.0,1
167,Transporter-1,-107,1.0,1
167,Transporter-2,-116,1.0,1
168,Transporter-1,-108,1.0,1
168,Transporter-2,-117,1.0,1
169,Transporter-1,-109,1.0,1
169,Transporter-2,-118,1.0,1
170,Transporter-1,-110,1.0,1
170,Transporter-2,-119,1.0,1
171,Transporter-1,-111,1.0,1
171,Transporter-2,-120,1.0,1
172,Transporter-1,-112,1.0,1
172,Transporter-2,-121,1.0,1
173,Transporter-1,-113,1.0,1
173,Transporter-2,-122,1.0,1
174,Transporter-1,-114,1.0,1
174,Transporter-2,-123,1.0,1
175,Transporter-1,-115,1.0,1
175,Transporter-2,-124,1.0,1
176,Transporter-1,-116,1.0,1
176,Transporter-2,-125,1.0,1
177,Transporter-1,-117,1.0,1
177,Transporter-2,-126,1.0,1
178,Transporter-1,-118,1.0,1
178,Transporter-2,-127,1.0,1
179,Transporter-1,-119,1.0,1
179,Transporter-2,-128,1.0,1
180,Transporter-1,-120,1.0,1
180,Transporter-2,-129,1.0,1
181,Transporter-1,-121,1.0,1
181,Transporter-2,-130,1.0,1
182,Transporter-1,-122,1.0,1
182,Transporter-2,-131,1.0,1
183,Transporter-1,-123,1.0,1
183,Transporter-2,-132,1.0,1
184,Transporter-1,-124,1.0,1
184,Transporter-2,-133,1.0,1
185,Transporter-1,-125,1.0,1
185,Transporter-2,-134,1.0,1
186,Transporter-1,-126,1.0,1
186,Transporter-2,-135,1.0,1
187,Transporter-1,-127,1.0,1
187,Transporter-2,-136,1.0,1
188,Transporter-1,-128,1.0,1
188,Transporter-2,-137,1.0,1
189,Transporter-1,-129,1.0,1
189,Transporter-2,-138,1.0,1
190,Transporter-1,-130,1.0,1
190,Transporter-2,-139,1.0,1
191,Transporter-1,-131,1.0,1
191,Transporter-2,-140,1.0,1
192,Transporter-1,-132,1.0,1
192,Transporter-2,-141,1.0,1
193,Transporter-1,-133,1.0,1
193,Transporter-2,-142,1.0,1
194,Transporter-1,-134,1.0,1
194,Transporter-2,-143,1.0,1
195,Transporter-1,-135,1.0,1
195,Transporter-2,-144,1.0,1
196,Transporter-1,-136,1.0,1
196,Transporter-2,-145,1.0,1
197,Transporter-1,-137,1.0,1
197,Transporter-2,-146,1.0,1
198,Transporter-1,-138,1.0,1
198,Transporter-2,-147,1.0,1
199,Transporter-1,-139,1.0,1
199,Transporter-2,-148,1.0,1
200,Transporter-1,-140,1.0,1
200,Transporter-2,-149,1.0,1
201,Transporter-1,-141,1.0,1
201,Transporter-2,-150,1.0,1
202,Transporter-1,-142,1.0,1
202,Transporter-2,-151,1.0,1
203,Transporter-1,-143,1.0,1
203,Transporter-2,-152,1.0,1
204,Transporter-1,-144,1.0,1
204,Transporter-2,-153,1.0,1
205,Transporter-1,-145,1.0,1
205,Transporter-2,-154,1.0,1
206,Transporter-1,-146,1.0,1
206,Transporter-2,-155,1.0,1
207,Transporter-1,-147,1.0,1
207,Transporter-2,-156,1.0,1
208,Transporter-1,-148,1.0,1
208,Transporter-2,-157,1.0,1
209,Transporter-1,-149,1.0,1
209,Transporter-2,-158,1.0,1
210,Transporter-1,-150,1.0,1
210,Transporter-2,-159,1.0,1
211,Transporter-1,-151,1.0,1
211,Transporter-2,-160,1.0,1
212,Transporter-1,-152,1.0,1
212,Transporter-2,-161,1.0,1
213,Transporter-1,-153,1.0,1
213,Transporter-2,-162,1.0,1
214,Transporter-1,-154,1.0,1
214,Transporter-2,-163,1.0,1
215,Transporter-1,-155,1.0,1
215,Transporter-2,-164,1.0,1
216,Transporter-1,-156,1.0,1
216,Transporter-2,-165,1.0,1
217,Transporter-1,-157,1.0,1
217,Transporter-2,-166,1.0,1
218,Transporter-1,-158,1.0,1
218,Transporter-2,-167,1.0,1
219,Transporter-1,-159,1.0,1
219,Transporter-2,-168,1.0,1
220,Transporter-1,-160,1.0,1
220,Transporter-2,-169,1.0,1
221,Transporter-1,-161,1.0,1
221,Transporter-2,-170,1.0,1
222,Transporter-1,-162,1.0,1
222,Transporter-2,-171,1.0,1
223,Transporter-1,-163,1.0,1
223,Transporter-2,-172,1.0,1
224,Transporter-1,-164,1.0,1
224,Transporter-2,-173,1.0,1
225,Transporter-1,-165,1.0,1
225,Transporter-2,-174,1.0,1
226,Transporter-1,-166,1.0,1
226,Transporter-2,-175,1.0,1
227,Transporter-1,-167,1.0,1
227,Transporter-2,-176,1.0,1
228,Transporter-1,-168,1.0,1
228,Transporter-2,-177,1.0,1
229,Transporter-1,-169,1.0,1
229,Transporter-2,-178,1.0,1
230,Transporter-1,-170,1.0,1
230,Transporter-2,-179,1.0,1
231,Transporter-1,-171,1.0,1
231,Transporter-2,-180,1.0,1
232,Transporter-1,-172,1.0,1
232,Transporter-2,-181,1.0,1
233,Transporter-1,-173,1.0,1
233,Transporter-2,-182,1.0,1
234,Transporter-1,-174,1.0,1
234,Transporter-2,-183,1.0,1
235,Transporter-1,-175,1.0,1
235,Transporter-2,-184,1.0,1
236,Transporter-1,-176,1.0,1
236,Transporter-2,-185,1.0,1
237,Transporter-1,-177,1.0,1
237,Transporter-2,-186,1.0,1
238,Transporter-1,-178,1.0,1
238,Transporter-2,-187,1.0,1
239,Transporter-1,-179,1.0,1
239,Transporter-2,-188,1.0,1
240,Transporter-1,-180,1.0,1
240,Transporter-2,-189,1.0,1
241,Transporter-1,-181,1.0,1
241,Transporter-2,-190,1.0,1
242,Transporter-1,-182,1.0,1
242,Transporter-2,-191,1.0,1
243,Transporter-1,-183,1.0,1
243,Transporter-2,-192,1.0,1
244,Transporter-1,-184,1.0,1
244,Transporter-2,-193,1.0,1
245,Transporter-1,-185,1.0,1
245,Transporter-2,-194,1.0,1
246,Transporter-1,-186,1.0,1
246,Transporter-2,-195,1.0,1
247,Transporter-1,-187,1.0,1
247,Transporter-2,-196,1.0,1
248,Transporter-1,-188,1.0,1
248,Transporter-2,-197,1.0,1
249,Transporter-1,-189,1.0,1
249,Transporter-2,-198,1.0,1
250,Transporter-1,-190,1.0,1
250,Transporter-2,-199,1.0,1
251,Transporter-1,-191,1.0,1
251,Transporter-2,-200,1.0,1
252,Transporter-1,-192,1.0,1
252,Transporter-2,-201,1.0,1
253,Transporter-1,-193,1.0,1
253,Transporter-2,-202,1.0,1
254,Transporter-1,-194,1.0,1
254,Transporter-2,-203,1.0,1
255,Transporter-1,-195,1.0,1
255,Transporter-2,-204,1.0,1
256,Transporter-1,-196,1.0,1
256,Transporter-2,-205,1.0,1
257,Transporter-1,-197,1.0,1
257,Transporter-2,-206,1.0,1
258,Transporter-1,-198,1.0,1
258,Transporter-2,-207,1.0,1
259,Transporter-1,-199,1.0,1
259,Transporter-2,-208,1.0,1
260,Transporter-1,-200,1.0,1
260,Transporter-2,-209,1.0,1
261,Transporter-1,-201,1.0,1
261,Transporter-2,-210,1.0,1
262,Transporter-1,-202,1.0,1
262,Transporter-2,-211,1.0,1
263,Transporter-1,-203,1.0,1
263,Transporter-2,-212,1.0,1
264,Transporter-1,-204,1.0,1
264,Transporter-2,-213,1.0,1
265,Transporter-1,-205,1.0,1
265,Transporter-2,-214,1.0,1
266,Transporter-1,-206,1.0,1
266,Transporter-2,-215,1.0,1
267,Transporter-1,-207,1.0,1
267,Transporter-2,-216,1.0,1
268,Transporter-1,-208,1.0,1
268,Transporter-2,-217,1.0,1
269,Transporter-1,-209,1.0,1
269,Transporter-2,-218,1.0,1
270,Transporter-1,-210,1.0,1
270,Transporter-2,-219,1.0,1
271,Transporter-1,-211,1.0,1
271,Transporter-2,-220,1.0,1
272,Transporter-1,-212,1.0,1
272,Transporter-2,-221,1.0,1
273,Transporter-1,-213,1.0,1
273,Transporter-2,-222,1.0,1
274,Transporter-1,-214,1.0,1
274,Transporter-2,-223,1.0,1
275,Transporter-1,-215,1.0,1
275,Transporter-2,-224,1.0,1
276,Transporter-1,-216,1.0,1
276,Transporter-2,-225,1.0,1
277,Transporter-1,-217,1.0,1
277,Transporter-2,-226,1.0,1
278,Transporter-1,-218,1.0,1
278,Transporter-2,-227,1.0,1
279,Transporter-1,-219,1.0,1
279,Transporter-2,-228,1.0,1
280,Transporter-1,-220,1.0,1
280,Transporter-2,-229,1.0,1
281,Transporter-1,-221,1.0,1
281,Transporter-2,-230,1.0,1
282,Transporter-1,-222,1.0,1
282,Transporter-2,-231,1.0,1
283,Transporter-1,-223,1.0,1
283,Transporter-2,-232,1.0,1
284,Transporter-1,-224,1.0,1
284,Transporter-2,-233,1.0,1
285,Transporter-1,-225,1.0,1
285,Transporter-2,-234,1.0,1
286,Transporter-1,-226,1.0,1
286,Transporter-2,-235,1.0,1
287,Transporter-1,-227,1.0,1
287,Transporter-2,-236,1.0,1
288,Transporter-1,-228,1.0,1
288,Transporter-2,-237,1.0,1
289,Transporter-1,-229,1.0,1
289,Transporter-2,-238,1.0,1
290,Transporter-1,-230,1.0,1
290,Transporter-2,-239,1.0,1
291,Transporter-1,-231,1.0,1
291,Transporter-2,-240,1.0,1
292,Transporter-1,-232,1.0,1
292,Transporter-2,-241,1.0,1
293,Transporter-1,-233,1.0,1
293,Transporter-2,-242,1.0,1
294,Transporter-1,-234,1.0,1
294,Transporter-2,-243,1.0,1
295,Transporter-1,-235,1.0,1
295,Transporter-2,-244,1.0,1
296,Transporter-1,-236,1.0,1
296,Transporter-2,-245,1.0,1
297,Transporter-1,-237,1.0,1
297,Transporter-2,-246,1.0,1
298,Transporter-1,-238,1.0,1
298,Transporter-2,-247,1.0,1
299,Transporter-1,-239,1.0,1
299,Transporter-2,-248,1.0,1
300,Transporter-1,-240,1.0,1
300,Transporter-2,-249,1.0,1
301,Transporter-1,-241,1.0,1
301,Transporter-2,-250,1.0,1
302,Transporter-1,-242,1.0,1
302,Transporter-2,-251,1.0,1
303,Transporter-1,-243,1.0,1
303,Transporter-2,-252,1.0,1
304,Transporter-1,-244,1.0,1
304,Transporter-2,-253,1.0,1
305,Transporter-1,-245,1.0,1
305,Transporter-2,-254,1.0,1
306,Transporter-1,-246,1.0,1
306,Transporter-2,-255,1.0,1
307,Transporter-1,-247,1.0,1
307,Transporter-2,-256,1.0,1
308,Transporter-1,-248,1.0,1
308,Transporter-2,-257,1.0,1
309,Transporter-1,-249,1.0,1
309,Transporter-2,-258,1.0,1
310,Transporter-1,-250,1.0,1
310,Transporter-2,-259,1.0,1
311,Transporter-1,-251,1.0,1
311,Transporter-2,-260,1.0,1
312,Transporter-1,-252,1.0,1
312,Transporter-2,-261,1.0,1
313,Transporter-1,-253,1.0,1
313,Transporter-2,-262,1.0,1
314,Transporter-1,-254,1.0,1
314,Transporter-2,-263,1.0,1
315,Transporter-1,-255,1.0,1
315,Transporter-2,-264,1.0,1
316,Transporter-1,-256,1.0,1
316,Transporter-2,-265,1.0,1
317,Transporter-1,-257,1.0,1
317,Transporter-2,-266,1.0,1
318,Transporter-1,-258,1.0,1
318,Transporter-2,-267,1.0,1
319,Transporter-1,-259,1.0,1
319,Transporter-2,-268,1.0,1
320,Transporter-1,-260,1.0,1
320,Transporter-2,-269,1.0,1
321,Transporter-1,-261,1.0,1
321,Transporter-2,-270,1.0,1
322,Transporter-1,-262,1.0,1
322,Transporter-2,-271,1.0,1
323,Transporter-1,-263,1.0,1
323,Transporter-2,-272,1.0,1
324,Transporter-1,-264,1.0,1
324,Transporter-2,-273,1.0,1
325,Transporter-1,-265,1.0,1
325,Transporter-2,-274,1.0,1
326,Transporter-1,-266,1.0,1
326,Transporter-2,-275,1.0,1
327,Transporter-1,-267,1.0,1
327,Transporter-2,-276,1.0,1
328,Transporter-1,-268,1.0,1
328,Transporter-2,-277,1.0,1
329,Transporter-1,-269,1.0,1
329,Transporter-2,-278,1.0,1
330,Transporter-1,-270,1.0,1
330,Transporter-2,-279,1.0,1
331,Transporter-1,-271,1.0,1
331,Transporter-2,-280,1.0,1
332,Transporter-1,-272,1.0,1
332,Transporter-2,-281,1.0,1
333,Transporter-1,-273,1.0,1
333,Transporter-2,-282,1.0,1
334,Transporter-1,-274,1.0,1
334,Transporter-2,-283,1.0,1
335,Transporter-1,-275,1.0,1
335,Transporter-2,-284,1.0,1
336,Transporter-1,-276,1.0,1
336,Transporter-2,-285,1.0,1
337,Transporter-1,-277,1.0,1
337,Transporter-2,-286,1.0,1
338,Transporter-1,-278,1.0,1
338,Transporter-2,-287,1.0,1
339,Transporter-1,-279,1.0,1
339,Transporter-2,-288,1.0,1
340,Transporter-1,-280,1.0,1
340,Transporter-2,-289,1.0,1
341,Transporter-1,-281,1.0,1
341,Transporter-2,-290,1.0,1
342,Transporter-1,-282,1.0,1
342,Transporter-2,-291,1.0,1
343,Transporter-1,-283,1.0,1
343,Transporter-2,-292,1.0,1
344,Transporter-1,-284,1.0,1
344,Transporter-2,-293,1.0,1
345,Transporter-1,-285,1.0,1
345,Transporter-2,-294,1.0,1
346,Transporter-1,-286,1.0,1
346,Transporter-2,-295,1.0,1
347,Transporter-1,-287,1.0,1
347,Transporter-2,-296,1.0,1
348,Transporter-1,-288,1.0,1
348,Transporter-2,-297,1.0,1
349,Transporter-1,-289,1.0,1
349,Transporter-2,-298,1.0,1
350,Transporter-1,-290,1.0,1
350,Transporter-2,-299,1.0,1
351,Transporter-1,-291,1.0,1
351,Transporter-2,-300,1.0,1
352,Transporter-1,-292,1.0,1
352,Transporter-2,-301,1.0,1
353,Transporter-1,-293,1.0,1
353,Transporter-2,-302,1.0,1
354,Transporter-1,-294,1.0,1
354,Transporter-2,-303,1.0,1
355,Transporter-1,-295,1.0,1
355,Transporter-2,-304,1.0,1
356,Transporter-1,-296,1.0,1
356,Transporter-2,-305,1.0,1
357,Transporter-1,-297,1.0,1
357,Transporter-2,-306,1.0,1
358,Transporter-1,-298,1.0,1
358,Transporter-2,-307,1.0,1
359,Transporter-1,-299,1.0,1
359,Transporter-2,-308,1.0,1
360,Transporter-1,-300,1.0,1
360,Transporter-2,-309,1.0,1
361,Transporter-1,-301,1.0,1
361,Transporter-2,-310,1.0,1
362,Transporter-1,-302,1.0,1
362,Transporter-2,-311,1.0,1
363,Transporter-1,-303,1.0,1
363,Transporter-2,-312,1.0,1
364,Transporter-1,-304,1.0,1
364,Transporter-2,-313,1.0,1
365,Transporter-1,-305,1.0,1
365,Transporter-2,-314,1.0,1
366,Transporter-1,-306,1.0,1
366,Transporter-2,-315,1.0,1
367,Transporter-1,-307,1.0,1
367,Transporter-2,-316,1.0,1
368,Transporter-1,-308,1.0,1
368,Transporter-2,-317,1.0,1
369,Transporter-1,-309,1.0,1
369,Transporter-2,-318,1.0,1
370,Transporter-1,-310,1.0,1
370,Transporter-2,-319,1.0,1
371,Transporter-1,-311,1.0,1
371,Transporter-2,-320,1.0,1
372,Transporter-1,-312,1.0,1
372,Transporter-2,-321,1.0,1
373,Transporter-1,-313,1.0,1
373,Transporter-2,-322,1.0,1
374,Transporter-1,-314,1.0,1
374,Transporter-2,-323,1.0,1
375,Transporter-1,-315,1.0,1
375,Transporter-2,-324,1.0,1
376,Transporter-1,-316,1.0,1
376,Transporter-2,-325,1.0,1
377,Transporter-1,-317,1.0,1
377,Transporter-2,-326,1.0,1
378,Transporter-1,-318,1.0,1
378,Transporter-2,-327,1.0,1
379,Transporter-1,-319,1.0,1
379,Transporter-2,-328,1.0,1
380,Transporter-1,-320,1.0,1
380,Transporter-2,-329,1.0,1
381,Transporter-1,-321,1.0,1
381,Transporter-2,-330,1.0,1
382,Transporter-1,-322,1.0,1
382,Transporter-2,-331,1.0,1
383,Transporter-1,-323,1.0,1
383,Transporter-2,-311,1.0,1
384,Transporter-1,-324,1.0,1
384,Transporter-2,-312,1.0,1
385,Transporter-1,-325,1.0,1
385,Transporter-2,-313,1.0,1
386,Transporter-1,-326,1.0,1
386,Transporter-2,-314,1.0,1
387,Transporter-1,-327,1.0,1
387,Transporter-2,-315,1.0,1
388,Transporter-1,-328,1.0,1
388,Transporter-2,-316,1.0,1
389,Transporter-1,-329,1.0,1
389,Transporter-2,-317,1.0,1
390,Transporter-1,-330,1.0,1
